ESPNName,ESPNID
Dorian Finney-Smith,2578185
Doug McDermott,2528588
Dragan Bender,4011991
Draymond Green,6589
Drew Eubanks,3914285
Drew Gooden,1711
Drew Gordon,2327465
Duje Dukan,2528244
Duncan Robinson,3157465
Dusty Hannahs,3001309
Dwayne Bacon,3907821
Dwight Buycks,6503
Dwight Howard,2384
Dwight Powell,2531367
Dwyane Wade,1987
E'Twaun Moore,6460
Earl Barron,2477
Earl Boykins,87
Earl Clark,3971
Earl Watson,1027
Ed Davis,4259
Edmond Sumner,3136485
Ekpe Udoh,4261
Elfrid Payton,2583639
Elias Harris,2489660
Elie Okobo,4230550
Elijah Millsap,4321
Elliot Williams,4294
Elton Brand,91
Emeka Okafor,2399
Emmanuel Mudiay,3892818
Enes Kanter,6447
Eric Bledsoe,4238
Eric Dawson,6555
Eric Gordon,3431
Eric Maynor,4001
Eric Moreland,2531352
Erick Green,2488684
Erik Jay Murphy,2489021
Ersan Ilyasova,2767
Evan Fournier,6588
Evan Turner,4239
Fab Melo,6608
Festus Ezeli,6587
Frank Jackson,4065651
Frank Kaminsky,2579294
Frank Ntilikina,4230547
Fred VanVleet,2991230
Furkan Aldemir,6577
Furkan Korkmaz,3929325
Gal Mekel,4218
Garrett Temple,4023
Gary Clark,3132042
Gary Forbes,4312
Gary Harris,2999547
Gary Neal,4300
George Hill,3438
George King,3064320
Georges Niang,2990969
Georgios Papagiannis,4017846
Gerald Green,2761
Gerald Henderson,3993
Gerald Wallace,1026
Gian Clavell,3137694
Giannis Antetokounmpo,3032977
Gilbert Arenas,974
Glen Davis,3200
Goran Dragic,3423
Gordon Hayward,4249
Gorgui Dieng,2534781
Grant Hill,336
Grant Jerrett,2991009
Grayson Allen,3135045
Greg Monroe,4260
Greg Oden,3225
Greg Smith,6530
Greg Stiemsma,4235
Guerschon Yabusele,4017844
Hakim Warrick,2794
Hamady Ndiaye,4282
Hamed Haddadi,3478
Hamidou Diallo,4080610
Harrison Barnes,6578
Harry Giles III,4065649
Hasheem Thabeet,4016
Hassan Whiteside,4262
Haywood Highsmith,4291678
Henry Ellenson,3906522
Henry Sims,6647
Henry Walker,3464
Hilton Armstrong,2984
Hollis Thompson,6634
Ian Clark,2489785
Ike Anigbogu,4066424
Ike Diogu,2750
Iman Shumpert,6468
Isaac Humphries,3926491
Isaiah Briscoe,3936294
Isaiah Canaan,2490589
Isaiah Hartenstein,4222252
Isaiah Hicks,3074765
Isaiah Taylor,3059336
Isaiah Thomas,6472
Isaiah Whitehead,3136477
Ivan Johnson,6534
Ivan Rabb,3917378
Ivica Zubac,4017837
J.J. O'Brien,2528374
JJ Redick,3024
J.P. Macura,3136483
JR Smith,2444
Jabari Bird,3064308
Jabari Brown,2580784
Jabari Parker,3056600
Jack Cooley,2488713
Jacob Evans,3934621
Jae Crowder,6581
Jahlil Okafor,3135048
JaJuan Johnson,6445
JaKarr Sampson,2608891
Jake Layman,2982268
Jalen Brunson,3934672
Jalen Jones,2579476
Jamaal Franklin,2528356
Jamaal Tinsley,1024
Jamal Crawford,165
Jamal Murray,3936299
Jameel Warney,2982185
Jameer Nelson,2439
Jamel Artis,3059276
James Anderson,4242
James Ennis III,2579321
James Harden,3992
James Johnson,3999
James Jones,2009
James Nunnally,2326411
James Southerland,2488749
James White,3037
James Young,3064509
Jamil Wilson,2488977
JaMychal Green,2327577
Jannero Pargo,1821
Jared Cunningham,6582
Jared Dudley,3201
Jared Jeffries,1717
Jared Sullinger,6624
Jarell Eddie,2528803
Jarell Martin,3064517
Jarnell Stokes,2614962
Jaron Blossomgame,2982240
Jarred Vanderbilt,4278077
Jarrett Allen,4066328
Jarrett Jack,2768
Jarrod Uthoff,2579293
Jarvis Varnado,4266
Jason Kidd,429
Jason Maxiell,2775
Jason Richardson,1018
Jason Smith,3232
Jason Terry,841
Jason Thompson,3462
JaVale McGee,3452
Jawun Evans,3912854
Jaylen Adams,3133874
Jaylen Brown,3917376
Jaylen Morris,3952343
Jayson Tatum,4065648
Jeff Adrien,4335
Jeff Ayres,4008
Jeff Green,3209
Jeff Teague,4015
Jeff Withey,2333797
Jerami Grant,2991070
Jerel McNeal,4158
Jeremy Evans,4295
Jeremy Lamb,6603
Jeremy Lin,4299
Jeremy Tyler,6476
Jerian Grant,2531047
Jermaine O'Neal,615
Jerome Adolphus Jordan,4280
Jerome Robinson,3943606
Jerrelle Benimon,2488701
Jerryd Bayless,3417
Jevon Carter,3133635
Jimmer Fredette,6434
Jimmy Butler,6430
Joakim Noah,3224
Jodie Meeks,4003
Joe Chealey,3058269
Joe Harris,2528794
Joe Ingles,2968436
Joe Johnson,1007
Joel Anthony,3247
Joel Bolomboy,2983551
Joel Embiid,3059318
Joel Freeland,3004
Joel Przybilla,682
Joey Dorsey,3421
Joffrey Lauvergne,2959753
Johan Petro,2780
John Collins,3908845
John Henson,6592
John Jenkins,6594
John Lucas III,2866
John Salmons,1726
John Wall,4237
Johnathan Motley,3059306
Johnathan Williams,3064528
Johnny O'Bryant III,2581084
Jon Leuer,6452
Jonah Bolden,3155533
Jonas Jerebko,3998
Jonas Valanciunas,6477
Jonathan Isaac,4065654
Jonathon Simmons,2579466
Jordan Adams,2993873
Jordan Bell,3064427
Jordan Clarkson,2528426
Jordan Crawford,4243
Jordan Farmar,3002
Jordan Hamilton,6436
Jordan Hill,3994
Jordan Loyd,2595592
Jordan McRae,2531797
Jordan Mickey,3064520
Jordan Sibert,2579279
Josh Emmanuel Akognon,6656
Josh Childress,2373
Josh Harrellson,6439
Josh Hart,3062679
Josh Howard,2006
Josh Huestis,2531364
Josh Jackson,4066297
Josh McRoberts,3220
Josh Okogie,4065663
Josh Powell,2197
Josh Richardson,2581190
Josh Selby,6467
Josh Smith,2411
Jrue Holiday,3995
Julian Washburn,2579492
Julius Randle,3064514
Julyan Stone,6543
Justin Anderson,2982340
Justin Hamilton,6590
Justin Harper,6438
Justin Holiday,2284101
Justin Jackson,3138156
Justin Patton,3912332
Justise Winslow,3135047
Jusuf Nurkic,3102530
Juwan Howard,351
KJ McDaniels,2566741
Kadeem Allen,3134880
Kalin Lucas,2282734
Karl-Anthony Towns,3136195
Kawhi Leonard,6450
Kay Felder,3062892
Keita Bates-Diop,3136779
Keith Appling,2531097
Keith Benson,6425
Keith Bogans,1995
Kelenna Azubuike,2821
Kelly Olynyk,2489663
Kemba Walker,6479
Kendall Marshall,6607
Kenneth Faried,6433
Kenrich Williams,3133626
Kent Bazemore,6637
Kentavious Caldwell-Pope,2581018
Kenyon Martin,515
Kevin Durant,3202
Kevin Garnett,261
Kevin Huerter,4066372
Kevin Jones,2326257
Kevin Knox II,4278075
Kevin Love,3449
Kevin Martin,2394
Kevin Murphy,6613
Kevon Looney,3155535
Keyon Dooling,209
Khem Birch,2578240
Khris Middleton,6609
Khyri Thomas,3912334
Kim English,6586
Kirk Hinrich,1981
Klay Thompson,6475
Kobe Bryant,110
Kobi Simmons,4066335
Kosta Koufos,3444
Kostas Antetokounmpo,4066490
Kostas Papanikolaou,4195
Kris Dunn,2991139
Kris Humphries,2433
Kris Joseph,6599
Kristaps Porzingis,3102531
Kurt Thomas,846
Kwame Brown,981
Kyle Anderson,2993874
Kyle Collinsworth,2528327
Kyle Korver,2011
Kyle Kuzma,3134907
Kyle Lowry,3012
Kyle O'Quinn,6615
Kyle Singler,6469
Kyle Wiltjer,2581029
Kyrie Irving,6442
Kyrylo Fesenko,3205
Lamar Patterson,2488721
LaMarcus Aldridge,2983
Lance Stephenson,4244
Lance Thomas,6485
Landry Fields,4274
Landry Shamet,3914044
Langston Galloway,2530572
Larry Sanders,4265
Lauri Markkanen,4066336
Lazar Hayward,4277
Leandro Barbosa,2166
LeBron James,1966
Lester Hudson,3996
Linas Kleiza,2770
London Perrantes,3059286
Lonzo Ball,4066421
Lorenzo Brown,2528787
Lucas Nogueira,3032980
Luigi Datome,2585629
Luis Montero,3911666
Luis Scola,1781
Luka Doncic,3945274
Luke Babbitt,4250
Luke Harangody,4276
Luke Kennard,3913174
Luke Kornet,3064560
Luke Ridnour,1985
Luke Walton,2027
Luke Zeller,6502
Luol Deng,2429
Maalik Wayns,6638
Malachi Richardson,3934663
Malcolm Brogdon,2566769
Malcolm Lee,6449
Malcolm Miller,2580980
Malik Beasley,3907822
Malik Monk,4066262
Mangok Mathiang,2991054
Manny Harris,4360
Marc Gasol,3206
Marcelinho Huertas,2968363
Marcin Gortat,2758
Marco Belinelli,3190
Marcus Camby,125
Marcus Derrickson,3934670
Marcus Georges-Hunt,2982261
Marcus Morris Sr.,6462
Marcus Paige,2982329
Marcus Smart,2990992
Marcus Thornton,4017
Mario Chalmers,3419
Mario Hezonja,2995706
Markel Brown,2530750
Markelle Fultz,4066636
Markieff Morris,6461
Marquese Chriss,3907487
Marquis Daniels,2200
Marquis Teague,6626
Marreese Speights,3460
Marshall Plumlee,2566748
MarShon Brooks,6428
Martell Webster,2795
Marvin Williams,2797
Mason Plumlee,2488653
Matt Barnes,1765
Matt Bonner,1996
Matt Carroll,2211
Matt Costello,2999546
Matthew Dellavedova,2489716
Maurice Harkless,6591
Maxi Kleber,2960236
Melvin Ely,1709
Melvin Frazier Jr.,3913546
Metta World Peace,25
Meyers Leonard,6605
Michael Beasley,3418
Michael Carter-Williams,2596108
Michael Gbinije,2566747
Michael Kidd-Gilchrist,6601
Mickell Gladness,4329
Mikal Bridges,3147657
Mike Conley,3195
Mike Dunleavy,1708
Mike  Harris,3081
Mike James,2528096
Mike James,1051
Mike Miller,558
Mike Muscala,2490089
Mike Scott,6622
Mike Tobey,2982337
Miles Bridges,4066383
Miles Plumlee,6616
Milton Doyle,2992564
Mindaugas Kuzminskas,3138120
Miroslav Raduljica,3047256
Mirza Teletovic,4385
Mitchell Creek,4236300
Mitch McGary,2991041
Mitchell Robinson,4351852
Mo Williams,2178
Monta Ellis,2751
Monte Morris,3059310
Montrezl Harrell,2991055
Moritz Wagner,3150844
Morris Almond,3188
Mychel Thompson,6523
Myke Henry,2579251
Myles Turner,3133628
Nando De Colo,3977
Nate Robinson,2782
Nate Wolters,2491079
Naz Mitrou-Long,2990968
Nazr Mohammed,568
Nemanja Bjelica,4269
Nemanja Nedovic,2959736
Nerlens Noel,2991280
Nick Calathes,3969
Nick Collison,1978
Nick Johnson,2580589
Nick Young,3243
Nicolas Batum,3416
Nigel Hayes,3059409
Nik Stauskas,2991042
Nikola Jokic,3112335
Nikola Mirotic,6459
Nikola Pekovic,3453
Nikola Vucevic,6478
Noah Vonleh,3078284
Nolan Smith,6471
Norman Powell,2595516
Norris Cole,6431
OG Anunoby,3934719
Ognjen Kuzmic,6602
Okaro White,2528473
Omari Johnson,2284046
Omari Spellman,4065836
Omri Casspi,3554
Orlando Johnson,6595
Othyus Jeffers,4231
P.J. Hairston,2594816
PJ Tucker,3033
Pablo Prigioni,4182
Pascal Siakam,3149673
Pat Connaughton,2578239
Patricio Garino,2982506
Patrick Beverley,3964
Patrick Christopher,2232456
Patrick McCaw,3137730
Patrick Patterson,4264
Pau Gasol,996
Paul George,4251
Paul Millsap,3015
Paul Pierce,662
Paul Zipser,3893023
Pero Antic,2585616
Peyton Siva,2488706
Phil Pressey,2530722
Pierre Deshawn Jackson,2578204
Quentin Richardson,703
Quincy Acy,6576
Quincy Miller,6611
Quincy Pondexter,4253
Quinn Cook,2566745
RJ Hunter,2983727
Raja Bell,49
Rajon Rondo,3026
Rakeem Christmas,2596110
Ramon Sessions,3231
Randy Foye,3003
Rashad Vaughn,3137733
Rashard Lewis,469
Rasheed Wallace,883
Rasual Butler,1767
Raul Neto,2968361
Rawle Alkins,4066334
Ray Allen,9
Ray McCallum,2528447
Ray Spalding,3908806
Raymond Felton,2753
Reggie Bullock,2528779
Reggie Evans,1828
Reggie Jackson,6443
Renaldo Balkman,2986
Richard Hamilton,294
Richard Jefferson,1006
Richaun Holmes,2993370
Ricky Rubio,4011
Robbie John Hummel,6633
Robert Covington,2490620
Robert Sacre,6620
Robert Williams III,4066211
Robin Lopez,3447
Rodions Kurucs,4230548
Rodney Hood,2581177
Rodney McGruder,2488826
Rodney Purvis,2982332
Rodney Stuckey,3235
Rodrigue Beaubois,3963
Roger Mason Jr.,1721
Ron Baker,2580349
Rondae Hollis-Jefferson,3064291
Ronnie Brewer,2991
Ronnie Price,2807
Ronny Turiaf,2789
Roy Hibbert,3436
Royal Ivey,2387
Royce O'Neale,2583632
Royce White,6629
Rudy Gay,3005
Rudy Gobert,3032976
Russ Smith,2531038
Russell Westbrook,3468
Ryan Anderson,3412
Ryan Arcidiacono,2991047
Ryan Broekhoff,2489693
Ryan  Gomes,2757
Ryan Hollins,3008
Ryan Kelly,2488651
Salah Mejri,2968458
Sam Dekker,2991184
Sam Young,4020
Samardo Samuels,4304
Sasha Kaun,3443
Sasha Pavlovic,2172
Sasha Vujacic,2421
Scott Machado,6644
Scotty Hopson,2328418
Sean Kilpatrick,2488689
Sean Williams,3239
Sebastian Telfair,2417
Semaj Christon,2983526
Semi Ojeleye,3056602
Semih Erden,3425
Serge Ibaka,3439
Sergey Karasev,2959745
Seth Curry,2326307
Shabazz Muhammad,2993875
Shabazz Napier,2530780
Shai Gilgeous-Alexander,4278073
Shake Milton,3915195
Shane Battier,976
Shane Edwards,4311
Shane Larkin,2596158
Shannon Brown,2992
Shaquille Harrison,2991274
Shaun Livingston,2393
Shavlik Randolph,2810
Shawn Long,2581180
Shawn Marion,510
Shawne Williams,3038
Shayne Whittington,2491063
Shelvin Mack,6454
Sim Bhullar,2596402
Sindarius Thornwell,3064539
Solomon Alabi,4268
Solomon Hill,2488958
Solomon Jones,3010
Spencer Dinwiddie,2580782
Spencer Hawes,3211
Stanley Johnson,3134881
Stephen Curry,3975
Stephen  Jackson,378
Stephen Zimmerman,3936102
Sterling Brown,3057187
Steve Blake,1994
Steve Nash,592
Steve Novak,3018
Steven Adams,2991235
Sviatoslav Mykhailiuk,3133602
T.J. McConnell,2530530
T.J. Warren,2982334
Taj Gibson,3986
Tarik Black,2528393
Tayshaun Prince,1724
Terrance Ferguson,4230546
Terrel Harris,6490
Terrence Jones,6597
Terrence Ross,6619
Terrence Williams,4019
Terry Rozier,3074752
Thabo Sefolosha,3028
Thaddeus Young,3244
Thanasis Antetokounmpo,3102533
Theo Pinson,3138154
Thomas Bryant,3934723
Thomas Robinson,6618
Thomas Welsh,3155536
Thon Maker,4017843
Tiago Splitter,3233
Tim Duncan,215
Tim Frazier,2488945
Tim Ohlbrecht,2308999
Tim Quarterman,4064730
Timofey Mozgov,4298
Tobias Harris,6440
Toney Douglas,3979
Tony Allen,2367
Tony Bradley,4065673
Tony Mitchell,2583664
Tony Mitchell,2489010
Tony Parker,1015
Tornike Shengelia,6623
Torrey Craig,2528693
Tracy McGrady,532
Trae Young,4277905
Travis Leslie,6451
Travis Outlaw,2015
Travis Wear,2488674
Treveon Graham,2595231
Trevon Duval,4277842
Trevor Ariza,2426
Trevor Booker,4270
Trey Burke,2579260
Trey Lyles,3136196
Trey McKinney-Jones,2327832
Trey Thompkins,6473
Tristan Thompson,6474
Troy Caupain,3074743
Troy Daniels,2489530
Troy Murphy,1013
Troy Williams,3078286
Tyler Cavanaugh,2982349
Tyler Dorsey,3915560
Tyler Ennis,3059281
Tyler Honeycutt,6441
Tyler Lydon,3934662
Tyler Ulis,3136194
Tyler Zeller,6631
Tyreke Evans,3983
Tyrone Wallace,3002137
Tyrus Thomas,3032
Tyshawn  Taylor,6625
Tyson Chandler,984
Tyus Jones,3135046
Udonis Haslem,2184
Vander Blue,2531039
Vernon Macklin,6455
Victor Claver,3972
Victor Oladipo,2527963
Vince Carter,136
Vincent Edwards,3136989
Vince Shamar Hunter,3057304
Vladimir Radmanovic,1016
Wade Baldwin IV,3136696
Wayne Selden,3059316
Wes Iwundu,3074797
Wesley Johnson,4247
Wesley Matthews,4032
Will Barton,6579
Will Bynum,2816
Will Cherry,2489897
Willie Cauley-Stein,2991282
Willie Green,2004
Willie Reed,2326015
Wilson Chandler,3194
Xavier Henry,4241
Xavier Munford,2983512
Xavier Rathan-Mayes,3059247
Xavier Silas,6499
Yante Maten,3136183
Yi Jianlian,3214
Yogi Ferrell,2991018
Yuta Watanabe,3133838
Zach Collins,4066650
Zach LaVine,3064440
Zach Lofton,3059430
Zach Randolph,1017
Zaza Pachulia,2016
Zhaire Smith,4277923
Zhou Qi,3892894
Zoran Dragic,2560823
Alex Abrines,2995702
Alexis Ajinca,3410
Anderson Varejao,2419
Angel Delgado,3136479
CJ McCollum,2490149
Cristiano Felicio,3113587
Darrun Hilliard,2578259
Dennis Smith Jr.,4065697
Derrick Jones Jr.,3936099
Derrick Walton Jr.,3056273
D.J. Wilson,3136491
Donte Greene,3432
Eduardo Najera,591
Francisco Garcia,2755
Frank Mason III,3059315
Gary Payton II,3134903
Gary Trent Jr.,4277843
Glen Rice Jr.,2488660
Glenn Robinson III,2991039
Greivis Vasquez,4291
Gustavo Alfonso Ayon,6546
Hedo Turkoglu,862
James Webb III,3079021
Jan Vesely,4165
Jaren Jackson Jr.,4277961
JJ Hickson,3437
Jorge Gutierrez,2327449
Jose Calderon,2806
Juan Hernangomez,4017839
Kelly Oubre Jr.,3133603
Kevin Seraphin,4289
Larry Drew II,2325495
Larry Nance Jr.,2580365
Lavoy Allen,6424
Lonnie Walker IV,4277890
Manu Ginobili,272
Marvin Bagley III,4277848
Mickael Gelabale,2756
Mickael Pietrus,2173
Nene ,1713
Nicolas Brussino,3929314
Nicolas Laprovittola,2968338
Omer Asik,3414
Otto Porter Jr.,2594922
Perry Jones,6598
PJ Dozier,3923250
Sergio Rodriguez,3025
Skal Labissiere,3936296
Tim Hardaway Jr.,2528210
Timothe Luwawu-Cabarrot,3893019
T.J. Leaf,4066425
Tony Wroten,6630
Troy Brown Jr.,4278508
Vitor Faverani,3046453
Walker Russell,6526
Wendell Carter Jr.,4277847
Willy Hernangomez,2999409
Andre Emmett,2431
Andres Nocioni,2456
Anthony Carter,137
Ben Uzoh,4296
Bobby Simmons,1022
Brad Miller,556
Buddy Hield,2990984
Chris Quinn,3046
Chris Wright,6666
Craig Smith,3031
Darington Hobson,4278
Delonte West,2422
Deng Adel,3908807
Dennis Horner,6527
Diante Garrett,6663
D.J. Augustin,3415
D.J. Kennedy,6574
Doron Lamb,6604
Eddy Curry,990
Edwin Ubiles,6518
Emanuel Terry,4355392
Erick Dampier,181
Erik McCree,2994165
Francisco Elson,234
Ian Mahinmi,2774
Isaac Bonga,4348697
Jamaal Magloire,498
James Singleton,2873
Jared Terrell,3133843
Jason Collins,987
Jeff Foster,250
Jerry Smith,6528
Jerry Stackhouse,802
John Holland,2282117
Jon Brockman,3966
Jonathan Gibson,2234666
Jordan Williams,6481
Josh Davis,2212
Josh Magette,4064727
Justin Dentmon,6483
Kendrick Perkins,2018
Lamar Odom,617
Larry Hughes,356
Larry Owens,4179
Malcolm Thomas,6511
Maurice Evans,1031
Mehmet Okur,1014
Michael Redd,692
Mike Bibby,61
Mikki Moore,575
Mustafa Shakur,3252
O.J. Mayo,3450
Reggie Hearn,2488938
Reggie Williams,4229
Ricky Ledo,2991143
Rudy Fernandez,3204
Ryan Reid,4286
Samuel Dalembert,991
Shelden Williams,3040
Sonny Weems,3467
Sundiata Gaines,4224
Tibor Pleiss,4284
T.J. Ford,1979
Tony Battie,45
Tony Snell,2528353
Ty Lawson,4000
Tyler Hansbrough,3991
Tyler Johnson,2530276
Von Wafer,2793
Wayne Ellington,3981
Will Conroy,2827
Bam Adebayo,4066261
Lou Amundson,3041
Mo Bamba,4277919
J.J. Barea,3055
DeJuan Blair,3965
Tyler Davis,3947078
Branden Dawson,2595211
Malcolm Delaney,2282205
Josh Gray,3001308
Chris Johnson,2325975
Jemerrio Jones,4067469
Slava Kravtsov,6636
Walt Lemon Jr.,2528586
Devyn Marble,2527968
James Michael McAdoo,2594818
Patty Mills,4004
Jamario Moon,3249
Luc Mbah a Moute,3451
Byron Mullens,4005
Dzanan Musa,4348696
Jeremy Pargo,6497
Cameron Reynolds,3057240
Tomas Satoransky,6621
Ish Smith,4305
Edy Tavares,3033031
Milos Teodosic,4192
Lou Williams,2799
Joe Young,2528386
Joe Young,2528386
Andris Biedrins,2427
Ante Zizic,4017838
Damjan Rudez,2309097
Dario Saric,3032978
Jakob Poeltl,3134908
Jarrell Brantley,3912292
Justin James,3914058
Taurean Prince,2990962
Admiral Schofield,3918423
Brandon Clarke,3906665
Bruno Fernando,4277952
Caleb Martin,3138160
Cameron Johnson,3138196
Carsen Edwards,4066407
Chris Clemons,3906603
Chris Silva,3923253
Coby White,4395651
Cody Martin,3138161
Daniel Gafford,4278049
Darius Bazley,4423545
Darius Garland,4396907
De'Andre Hunter,4065732
Eric Paschall,3133817
Garrison Mathews,3913180
Goga Bitadze,4348700
Grant Williams,4066218
Ignas Brazdeikis,4397205
Ja Morant,4279888
Jalen McDaniels,4066731
Jared Harper,4066248
Jarrett Culver,4277928
Javonte Green,2596112
Jaxson Hayes,4397077
Jordan Poole,4277956
Justin Robinson,3945566
Kelan Martin,3133596
Kendrick Nunn,3056247
Ky Bowman,4065635
KZ Okpala,4278521
Marko Guduric,4230554
Matisse Thybulle,3907498
Matt Thomas,3059311
Mfiondu Kabengele,4065660
Michael Porter Jr.,4278104
Nassir Little,4395652
Nickeil Alexander-Walker,4278039
Nicolo Melli,4341
Nigel Williams-Goss,3064457
